Vardas                                  Pavarde                                 ND0                 ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egz       
Vardas303                               Pavarde303                              4                   7                   8                   8                   5                   8                   8                   4                   
Vardas304                               Pavarde304                              3                   1                   2                   4                   5                   9                   6                   4                   
Vardas305                               Pavarde305                              8                   7                   5                   7                   3                   6                   3                   6                   
Vardas306                               Pavarde306                              7                   6                   2                   7                   2                   6                   3                   1                   
Vardas307                               Pavarde307                              1                   4                   8                   4                   5                   7                   3                   7                   
Vardas308                               Pavarde308                              5                   3                   6                   8                   1                   7                   0                   0                   
Vardas309                               Pavarde309                              2                   6                   9                   7                   4                   7                   5                   8                   
Vardas310                               Pavarde310                              6                   5                   7                   5                   7                   9                   1                   1                   
Vardas311                               Pavarde311                              9                   1                   5                   5                   4                   3                   4                   3                   
Vardas312                               Pavarde312                              9                   1                   2                   0                   3                   9                   2                   0                   
Vardas313                               Pavarde313                              9                   4                   0                   6                   9                   4                   8                   8                   
Vardas314                               Pavarde314                              6                   6                   2                   4                   8                   1                   7                   5                   
Vardas315                               Pavarde315                              7                   1                   9                   8                   5                   5                   1                   1                   
Vardas316                               Pavarde316                              2                   2                   9                   4                   3                   4                   1                   6                   
Vardas317                               Pavarde317                              4                   3                   4                   3                   1                   4                   8                   9                   
Vardas318                               Pavarde318                              5                   2                   2                   2                   5                   9                   3                   3                   
Vardas319                               Pavarde319                              0                   9                   5                   4                   9                   1                   9                   3                   
Vardas320                               Pavarde320                              8                   5                   7                   0                   0                   9                   3                   3                   
Vardas321                               Pavarde321                              6                   5                   0                   5                   2                   4                   1                   3                   
Vardas322                               Pavarde322                              3                   3                   8                   3                   1                   1                   7                   9                   
Vardas323                               Pavarde323                              7                   9                   2                   9                   0                   1                   5                   1                   
Vardas324                               Pavarde324                              3                   6                   0                   4                   3                   8                   2                   0                   
Vardas325                               Pavarde325                              6                   5                   7                   2                   2                   0                   6                   0                   
Vardas326                               Pavarde326                              1                   8                   5                   9                   3                   3                   1                   8                   
Vardas327                               Pavarde327                              2                   7                   2                   1                   1                   5                   7                   9                   
Vardas328                               Pavarde328                              7                   1                   6                   0                   6                   2                   1                   9                   
Vardas329                               Pavarde329                              1                   4                   0                   3                   0                   8                   5                   0                   
Vardas330                               Pavarde330                              7                   5                   7                   9                   9                   2                   3                   7                   
Vardas331                               Pavarde331                              9                   9                   7                   9                   9                   8                   8                   5                   
Vardas332                               Pavarde332                              5                   7                   5                   9                   4                   5                   6                   2                   
Vardas333                               Pavarde333                              6                   0                   8                   9                   1                   4                   5                   0                   
Vardas334                               Pavarde334                              7                   8                   4                   5                   8                   1                   8                   5                   
Vardas335                               Pavarde335                              2                   5                   1                   0                   0                   2                   0                   2                   
Vardas336                               Pavarde336                              0                   1                   0                   5                   0                   4                   6                   5                   
Vardas337                               Pavarde337                              8                   7                   4                   9                   3                   4                   6                   4                   
Vardas338                               Pavarde338                              1                   1                   5                   8                   3                   7                   2                   3                   
Vardas339                               Pavarde339                              5                   1                   3                   8                   7                   0                   6                   9                   
Vardas340                               Pavarde340                              1                   9                   0                   4                   5                   8                   1                   7                   
Vardas341                               Pavarde341                              1                   3                   0                   8                   5                   6                   4                   3                   
Vardas342                               Pavarde342                              4                   7                   5                   9                   3                   6                   5                   1                   
Vardas343                               Pavarde343                              8                   9                   0                   9                   7                   2                   4                   4                   
Vardas344                               Pavarde344                              0                   3                   1                   8                   4                   8                   8                   7                   
Vardas345                               Pavarde345                              2                   8                   6                   5                   7                   2                   7                   9                   
Vardas346                               Pavarde346                              0                   0                   1                   7                   1                   9                   0                   4                   
Vardas347                               Pavarde347                              7                   6                   5                   1                   4                   5                   5                   9                   
Vardas348                               Pavarde348                              9                   9                   9                   2                   4                   0                   6                   2                   
Vardas349                               Pavarde349                              2                   1                   0                   4                   7                   3                   7                   1                   
Vardas350                               Pavarde350                              5                   8                   4                   2                   8                   5                   8                   2                   
Vardas351                               Pavarde351                              0                   9                   0                   7                   2                   6                   8                   8                   
Vardas352                               Pavarde352                              0                   3                   9                   7                   2                   4                   3                   0                   
Vardas353                               Pavarde353                              1                   5                   8                   7                   3                   4                   4                   7                   
Vardas354                               Pavarde354                              2                   4                   9                   9                   4                   7                   5                   8                   
Vardas355                               Pavarde355                              7                   3                   7                   0                   3                   0                   3                   6                   
Vardas356                               Pavarde356                              8                   6                   0                   2                   7                   9                   1                   6                   
Vardas357                               Pavarde357                              7                   1                   8                   5                   8                   1                   3                   7                   
Vardas358                               Pavarde358                              0                   2                   3                   2                   9                   3                   8                   3                   
Vardas359                               Pavarde359                              8                   7                   0                   8                   6                   3                   5                   8                   
Vardas360                               Pavarde360                              1                   6                   3                   8                   4                   7                   7                   2                   
Vardas361                               Pavarde361                              6                   1                   3                   0                   7                   4                   1                   5                   
Vardas362                               Pavarde362                              9                   2                   6                   8                   0                   5                   2                   3                   
Vardas363                               Pavarde363                              5                   7                   5                   2                   8                   6                   8                   7                   
Vardas364                               Pavarde364                              2                   3                   6                   6                   1                   9                   4                   2                   
Vardas365                               Pavarde365                              0                   7                   8                   1                   3                   4                   2                   5                   
Vardas366                               Pavarde366                              8                   2                   7                   7                   5                   7                   1                   2                   
Vardas367                               Pavarde367                              7                   4                   8                   3                   5                   1                   9                   3                   
Vardas368                               Pavarde368                              3                   4                   1                   8                   9                   3                   8                   7                   
Vardas369                               Pavarde369                              2                   3                   8                   1                   1                   9                   9                   0                   
Vardas370                               Pavarde370                              1                   6                   3                   7                   4                   8                   9                   5                   
Vardas371                               Pavarde371                              0                   7                   7                   5                   8                   6                   4                   7                   
Vardas372                               Pavarde372                              6                   8                   7                   2                   1                   9                   7                   6                   
Vardas373                               Pavarde373                              7                   0                   8                   1                   2                   2                   5                   9                   
Vardas374                               Pavarde374                              1                   8                   2                   3                   3                   0                   6                   2                   
Vardas375                               Pavarde375                              4                   0                   1                   7                   0                   8                   5                   5                   
Vardas376                               Pavarde376                              7                   4                   1                   5                   9                   9                   7                   0                   
Vardas377                               Pavarde377                              3                   2                   2                   3                   9                   4                   1                   4                   
Vardas378                               Pavarde378                              2                   7                   4                   4                   6                   4                   7                   8                   
Vardas379                               Pavarde379                              8                   4                   7                   5                   2                   6                   7                   5                   
Vardas380                               Pavarde380                              4                   4                   8                   3                   3                   0                   4                   0                   
Vardas381                               Pavarde381                              2                   4                   5                   9                   4                   5                   6                   9                   
Vardas382                               Pavarde382                              0                   0                   0                   1                   4                   9                   7                   2                   
Vardas383                               Pavarde383                              0                   4                   3                   0                   4                   8                   7                   1                   
Vardas384                               Pavarde384                              0                   2                   4                   5                   9                   3                   5                   8                   
Vardas385                               Pavarde385                              8                   7                   9                   4                   1                   7                   7                   0                   
Vardas386                               Pavarde386                              9                   2                   2                   3                   2                   1                   2                   7                   
Vardas387                               Pavarde387                              7                   8                   7                   3                   2                   1                   3                   2                   
Vardas388                               Pavarde388                              7                   0                   5                   0                   9                   3                   5                   4                   
Vardas389                               Pavarde389                              7                   8                   3                   0                   4                   1                   7                   9                   
Vardas390                               Pavarde390                              5                   3                   2                   9                   9                   8                   0                   8                   
Vardas391                               Pavarde391                              9                   7                   0                   8                   8                   6                   2                   2                   
Vardas392                               Pavarde392                              7                   3                   1                   1                   1                   7                   8                   3                   
Vardas393                               Pavarde393                              1                   2                   7                   8                   8                   6                   4                   3                   
Vardas394                               Pavarde394                              3                   0                   4                   3                   7                   2                   9                   7                   
Vardas395                               Pavarde395                              2                   4                   8                   5                   0                   8                   4                   6                   
Vardas396                               Pavarde396                              0                   4                   5                   8                   1                   9                   1                   9                   
Vardas397                               Pavarde397                              1                   6                   0                   3                   2                   1                   8                   0                   
Vardas398                               Pavarde398                              2                   9                   9                   9                   1                   4                   4                   4                   
Vardas399                               Pavarde399                              1                   4                   1                   7                   1                   9                   7                   5                   
Vardas400                               Pavarde400                              6                   1                   1                   8                   2                   3                   8                   3                   
Vardas401                               Pavarde401                              3                   0                   8                   3                   7                   0                   9                   3                   
Vardas402                               Pavarde402                              9                   3                   8                   6                   5                   5                   1                   6                   
Vardas403                               Pavarde403                              0                   5                   8                   8                   7                   2                   1                   7                   
Vardas404                               Pavarde404                              7                   4                   5                   0                   7                   6                   5                   3                   
Vardas405                               Pavarde405                              6                   5                   0                   2                   5                   3                   5                   2                   
Vardas406                               Pavarde406                              9                   0                   3                   7                   6                   3                   3                   6                   
Vardas407                               Pavarde407                              2                   6                   2                   8                   1                   6                   4                   9                   
Vardas408                               Pavarde408                              2                   6                   9                   6                   4                   5                   5                   8                   
Vardas409                               Pavarde409                              3                   3                   4                   6                   5                   0                   5                   7                   
Vardas410                               Pavarde410                              3                   2                   1                   4                   7                   6                   7                   1                   
Vardas411                               Pavarde411                              0                   3                   0                   9                   0                   2                   1                   6                   
Vardas412                               Pavarde412                              2                   0                   9                   4                   8                   6                   7                   9                   
Vardas413                               Pavarde413                              0                   9                   8                   3                   8                   6                   1                   6                   
Vardas414                               Pavarde414                              8                   0                   1                   9                   1                   7                   4                   6                   
Vardas415                               Pavarde415                              6                   8                   6                   6                   2                   9                   9                   9                   
Vardas416                               Pavarde416                              7                   6                   0                   6                   1                   6                   8                   6                   
Vardas417                               Pavarde417                              0                   3                   1                   0                   4                   8                   7                   4                   
Vardas418                               Pavarde418                              6                   7                   9                   5                   7                   8                   0                   4                   
Vardas419                               Pavarde419                              0                   8                   0                   3                   3                   1                   3                   6                   
Vardas420                               Pavarde420                              4                   2                   9                   2                   2                   1                   5                   5                   
Vardas421                               Pavarde421                              1                   4                   0                   6                   3                   8                   6                   3                   
Vardas422                               Pavarde422                              9                   3                   6                   8                   1                   9                   9                   1                   
Vardas423                               Pavarde423                              5                   3                   8                   2                   8                   1                   9                   1                   
Vardas424                               Pavarde424                              3                   3                   0                   3                   2                   6                   0                   6                   
Vardas425                               Pavarde425                              2                   6                   2                   4                   2                   6                   0                   9                   
Vardas426                               Pavarde426                              2                   4                   5                   2                   2                   4                   9                   3                   
Vardas427                               Pavarde427                              7                   7                   5                   4                   3                   6                   4                   4                   
Vardas428                               Pavarde428                              8                   1                   6                   0                   2                   2                   4                   9                   
Vardas429                               Pavarde429                              5                   7                   2                   0                   6                   7                   6                   0                   
Vardas430                               Pavarde430                              6                   0                   3                   1                   4                   5                   7                   2                   
Vardas431                               Pavarde431                              2                   1                   8                   5                   7                   8                   2                   7                   
Vardas432                               Pavarde432                              6                   6                   2                   4                   0                   9                   5                   5                   
Vardas433                               Pavarde433                              5                   1                   3                   8                   4                   8                   5                   4                   
Vardas434                               Pavarde434                              5                   6                   6                   0                   3                   8                   0                   9                   
Vardas435                               Pavarde435                              0                   7                   9                   8                   7                   7                   0                   1                   
Vardas436                               Pavarde436                              1                   1                   8                   2                   9                   2                   6                   9                   
Vardas437                               Pavarde437                              6                   4                   8                   7                   3                   4                   7                   9                   
Vardas438                               Pavarde438                              0                   6                   0                   6                   0                   2                   5                   2                   
Vardas439                               Pavarde439                              6                   4                   6                   9                   3                   7                   7                   1                   
Vardas440                               Pavarde440                              9                   5                   9                   9                   1                   9                   3                   3                   
Vardas441                               Pavarde441                              6                   1                   8                   8                   7                   6                   1                   8                   
Vardas442                               Pavarde442                              4                   3                   7                   7                   8                   1                   0                   0                   
Vardas443                               Pavarde443                              0                   3                   7                   9                   7                   3                   9                   4                   
Vardas444                               Pavarde444                              3                   6                   9                   1                   1                   5                   6                   9                   
Vardas445                               Pavarde445                              6                   4                   6                   4                   4                   5                   7                   5                   
Vardas446                               Pavarde446                              9                   0                   6                   8                   3                   2                   7                   0                   
Vardas447                               Pavarde447                              2                   5                   1                   9                   4                   8                   0                   6                   
Vardas448                               Pavarde448                              9                   3                   8                   5                   8                   9                   7                   4                   
Vardas449                               Pavarde449                              3                   9                   0                   4                   6                   1                   1                   9                   
Vardas450                               Pavarde450                              8                   9                   7                   5                   3                   5                   5                   0                   
Vardas451                               Pavarde451                              6                   5                   5                   8                   2                   7                   4                   4                   
Vardas452                               Pavarde452                              6                   0                   3                   5                   8                   3                   3                   2                   
Vardas453                               Pavarde453                              1                   6                   2                   3                   6                   7                   5                   3                   
Vardas454                               Pavarde454                              9                   3                   1                   0                   9                   9                   8                   7                   
Vardas455                               Pavarde455                              5                   6                   3                   9                   7                   8                   7                   8                   
Vardas456                               Pavarde456                              0                   0                   8                   2                   1                   7                   6                   8                   
Vardas457                               Pavarde457                              2                   5                   4                   9                   9                   5                   5                   3                   
Vardas458                               Pavarde458                              5                   0                   9                   7                   1                   6                   0                   5                   
Vardas459                               Pavarde459                              3                   6                   3                   2                   5                   9                   5                   6                   
Vardas460                               Pavarde460                              3                   7                   9                   2                   0                   4                   2                   6                   
Vardas461                               Pavarde461                              9                   6                   8                   2                   6                   7                   6                   9                   
Vardas462                               Pavarde462                              3                   3                   6                   3                   5                   5                   9                   1                   
Vardas463                               Pavarde463                              3                   2                   4                   5                   6                   3                   0                   9                   
Vardas464                               Pavarde464                              7                   3                   5                   2                   1                   7                   2                   8                   
Vardas465                               Pavarde465                              3                   2                   5                   4                   2                   3                   9                   3                   
Vardas466                               Pavarde466                              4                   6                   2                   3                   7                   9                   4                   7                   
Vardas467                               Pavarde467                              8                   8                   0                   2                   4                   2                   8                   1                   
Vardas468                               Pavarde468                              0                   1                   4                   4                   7                   4                   1                   7                   
Vardas469                               Pavarde469                              2                   6                   1                   2                   2                   3                   6                   6                   
Vardas470                               Pavarde470                              0                   5                   0                   1                   3                   6                   5                   0                   
Vardas471                               Pavarde471                              7                   6                   2                   4                   3                   1                   7                   3                   
Vardas472                               Pavarde472                              5                   5                   6                   0                   9                   7                   4                   1                   
Vardas473                               Pavarde473                              2                   1                   1                   1                   7                   3                   5                   1                   
Vardas474                               Pavarde474                              1                   2                   6                   0                   2                   4                   9                   7                   
Vardas475                               Pavarde475                              5                   5                   3                   6                   9                   3                   5                   9                   
Vardas476                               Pavarde476                              6                   7                   1                   3                   1                   3                   3                   6                   
Vardas477                               Pavarde477                              9                   7                   1                   3                   5                   4                   4                   6                   
Vardas478                               Pavarde478                              3                   7                   1                   0                   8                   4                   1                   4                   
Vardas479                               Pavarde479                              1                   3                   8                   2                   0                   0                   4                   9                   
Vardas480                               Pavarde480                              0                   1                   0                   5                   2                   9                   5                   5                   
Vardas481                               Pavarde481                              5                   0                   8                   9                   5                   7                   6                   2                   
Vardas482                               Pavarde482                              5                   4                   3                   2                   1                   2                   6                   6                   
Vardas483                               Pavarde483                              6                   0                   1                   9                   9                   5                   9                   6                   
Vardas484                               Pavarde484                              2                   3                   1                   2                   5                   7                   8                   5                   
Vardas485                               Pavarde485                              3                   2                   8                   9                   3                   8                   6                   1                   
Vardas486                               Pavarde486                              6                   8                   9                   4                   7                   6                   6                   9                   
Vardas487                               Pavarde487                              9                   0                   4                   4                   8                   6                   4                   7                   
Vardas488                               Pavarde488                              5                   5                   2                   0                   9                   8                   8                   3                   
Vardas489                               Pavarde489                              2                   4                   6                   0                   0                   7                   5                   0                   
